STATION,NAME,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
SYNTH0001,SYNTHETIC STATION,2023-04-01,,,,,0.6,,0.0,,0.0,,685.0,,549.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-02,,,,,0.0,,0.0,,0.0,,667.0,,544.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-03,,,,,0.0,,0.0,,0.0,,676.0,,564.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-04,,,,,0.0,,0.0,,0.0,,644.0,,586.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-05,,,,,0.0,,0.0,,0.0,,721.0,,577.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-06,,,,,0.0,,0.0,,0.0,,718.0,,596.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-07,,,,,1.2,,0.0,,0.0,,687.0,,568.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-08,,,,,0.0,,0.0,,0.0,,694.0,,533.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-09,,,,,0.0,,0.0,,0.0,,616.0,,591.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-10,,,,,0.0,,0.0,,0.0,,699.0,,599.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-11,,,,,0.0,,0.0,,0.0,,678.0,,569.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-12,,,,,2.8,,0.0,,0.0,,700.0,,576.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-13,,,,,0.0,,0.0,,0.0,,711.0,,587.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-14,,,,,0.0,,0.0,,0.0,,683.0,,621.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-15,,,,,0.0,,0.0,,0.0,,646.0,,598.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-16,,,,,0.0,,0.0,,0.0,,711.0,,579.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-17,,,,,0.0,,0.0,,0.0,,681.0,,644.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-18,,,,,0.0,,0.0,,0.0,,697.0,,621.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-19,,,,,0.0,,0.0,,0.0,,692.0,,667.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-20,,,,,0.0,,0.0,,0.0,,703.0,,652.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-21,,,,,0.0,,0.0,,0.0,,647.0,,672.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-22,,,,,3.4,,0.0,,0.0,,756.0,,627.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-23,,,,,1.2,,0.0,,0.0,,731.0,,661.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-24,,,,,0.0,,0.0,,0.0,,760.0,,618.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-25,,,,,0.0,,0.0,,0.0,,789.0,,625.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-26,,,,,0.0,,0.0,,0.0,,733.0,,638.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-27,,,,,0.0,,0.0,,0.0,,682.0,,711.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-28,,,,,0.0,,0.0,,0.0,,712.0,,655.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-29,,,,,0.0,,0.0,,0.0,,706.0,,643.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-04-30,,,,,0.0,,0.0,,0.0,,730.0,,642.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-01,,,,,0.0,,0.0,,0.0,,750.0,,694.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-02,,,,,0.6,,0.0,,0.0,,691.0,,665.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-03,,,,,0.0,,0.0,,0.0,,764.0,,683.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-04,,,,,0.0,,0.0,,0.0,,712.0,,681.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-05,,,,,0.0,,0.0,,0.0,,769.0,,628.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-06,,,,,0.0,,0.0,,0.0,,759.0,,687.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-07,,,,,0.0,,0.0,,0.0,,756.0,,666.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-08,,,,,0.0,,0.0,,0.0,,766.0,,642.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-09,,,,,0.1,,0.0,,0.0,,755.0,,689.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-10,,,,,0.0,,0.0,,0.0,,755.0,,677.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-11,,,,,0.2,,0.0,,0.0,,726.0,,673.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-12,,,,,0.0,,0.0,,0.0,,778.0,,677.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-13,,,,,0.3,,0.0,,0.0,,837.0,,718.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-14,,,,,0.0,,0.0,,0.0,,844.0,,682.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-15,,,,,0.0,,0.0,,0.0,,826.0,,646.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-16,,,,,0.0,,0.0,,0.0,,810.0,,736.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-17,,,,,0.0,,0.0,,0.0,,771.0,,666.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-18,,,,,0.0,,0.0,,0.0,,837.0,,691.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-19,,,,,0.0,,0.0,,0.0,,795.0,,716.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-20,,,,,0.0,,0.0,,0.0,,797.0,,639.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-21,,,,,0.0,,0.0,,0.0,,792.0,,678.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-22,,,,,0.0,,0.0,,0.0,,806.0,,739.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-23,,,,,1.3,,0.0,,0.0,,792.0,,703.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-24,,,,,0.0,,0.0,,0.0,,805.0,,690.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-25,,,,,0.0,,0.0,,0.0,,777.0,,715.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-26,,,,,0.0,,0.0,,0.0,,801.0,,691.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-27,,,,,0.0,,0.0,,0.0,,882.0,,716.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-28,,,,,0.0,,0.0,,0.0,,814.0,,696.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-29,,,,,0.0,,0.0,,0.0,,810.0,,675.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-30,,,,,0.6,,0.0,,0.0,,835.0,,740.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-05-31,,,,,0.0,,0.0,,0.0,,843.0,,715.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-01,,,,,0.0,,0.0,,0.0,,790.0,,737.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-02,,,,,0.0,,0.0,,0.0,,819.0,,721.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-03,,,,,0.0,,0.0,,0.0,,854.0,,762.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-04,,,,,0.0,,0.0,,0.0,,836.0,,745.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-05,,,,,0.0,,0.0,,0.0,,833.0,,735.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-06,,,,,0.0,,0.0,,0.0,,878.0,,704.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-07,,,,,0.0,,0.0,,0.0,,812.0,,698.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-08,,,,,0.0,,0.0,,0.0,,836.0,,774.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-09,,,,,1.7,,0.0,,0.0,,820.0,,759.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-10,,,,,0.0,,0.0,,0.0,,881.0,,717.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-11,,,,,0.0,,0.0,,0.0,,779.0,,797.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-12,,,,,0.0,,0.0,,0.0,,819.0,,753.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-13,,,,,0.0,,0.0,,0.0,,824.0,,743.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-14,,,,,0.0,,0.0,,0.0,,861.0,,703.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-15,,,,,0.0,,0.0,,0.0,,860.0,,721.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-16,,,,,0.0,,0.0,,0.0,,885.0,,753.0,,,,,,,,,,,,,
SYNTH0001,SYNTHETIC STATION,2023-06-17,,,,,0.0,,0.0,,0.0,,797.0,,755.0,,,,,,,,,,,,,
